TEXTURES 1 XRGB_COLOR(255,0,255)

//moveleft
//ID left(x>) top(y^) right(width) bottom(height)
11 12 4 44 64 //getTextureID  ---> standleft_IDLE
12 78 2 102 64
13 136 4 166 64
14 196 3 220 64	

//jump_left = down_left IDLE
21 252 1 284 46

//stand_attack_left
31 312 4 360 64
32 373 4 405 64
33 421 6 464 64

//hurted_right
41 10 72 42 130

//enter
51 80 66 112 130	--> enter_IDLE

//downstair_left
61 130 68 162 130
62 190 68 214 130

//upstair_left
71 259 68 289 130
72 322 68 346 130

//upstair_left_attack
81 319 134 360 196
82 379 134 411 196
83 427 136 471 196

//jump_left_attack
91 130 134 178 196
92 190 134 222 196
93 241 136 282 196

//down_left_attack
101 432 67 480 113
102 11 132 43 179 
103 61 135 105 179

//die_left
111 8 224 79 253

//Whip1
121 269 221 281 258
122 377 217 401 246
123 431 220 473 234

//whip 2
131 269 272 281 309
132 377 268 401 297
133 431 275 473 285

//whip3
141 269 323 281 360
142 377 319 401 348
143 407 326 473 336

//whip 4
151 262 382 276 419
152 392 377 422 407
153 449 372 672 394

//red HP - SIMON
155 310 224 324 246

//orange HP - BOSS
156 337 224 351 246

//Dagger
158 113 222 153 244

//AXE
161 8 267 45 302
162 46 267 83 302
163 83 267 120 302
164 121 267 158 302

//HollyWater
166 143 321 163 341

//HollyFame
168 185 318 201 348
169 213 316 253 348

//Boomerang 
171 8 316 43 351
172 44 316 78 351
173 79 319 113 351

//ghost
201 542 126 569 193
202 571 126 601 193

//Bat 
211 522 15 550 46 
212 554 16 592 46
213 591 20 630 41
214 631 11 668 46

//Dog: Down-Run....-Jump//
216 524 80 575 110	DOWN
217 592 80 652 110
218 660 80 724 110
219 728 80 796 107	JUMP

//fishman
221 631 128 665 193
222 662 124 691 193
223 694 124 726 193

// fishman- fireball
225 322 277 339 292 

//brick2 3
334 315 406 347 438
335 350 406 382 438

//brick intro
336 315 442 347 474


//door
341 525 218 544 292
342 576 218 614 292 
343 631 218 723 292

//vampire bat
346 531 433 571 473
347 611 430 731 485 
348 753 428 834 485

//number 0->9
351 13 409 29 424
352 32 409 46 424
353 47 409 63 424
354 64 409 80 424
355 81 409 97 424
356 98 409 114 424
357 115 409 131 424
358 132 409 148 424
359 149 409 165 424
360 166 409 182 424
